1726847932150872064,-7.700587,5.940846,-1.121917
1726847932159902976,-7.844737,5.897436,0.004191
1726847932170070272,-7.224427,6.641389,0.602796
1726847932179873024,-6.574179,7.395820,0.321980
1726847932189967104,-6.337671,7.605534,-0.598156
1726847932200049920,-6.356831,7.434290,-1.553170
1726847932209948928,-6.494095,7.257209,-2.018702
1726847932220137984,-6.590794,7.134613,-1.950743
1726847932229937152,-6.445746,7.073391,-1.500629
1726847932240048896,-6.340665,7.097491,-1.014740
1726847932250210048,-6.387816,7.213350,-0.851579
1726847932260087040,-6.494694,7.430997,-1.049767
1726847932270169088,-6.384374,7.719148,-1.461860
1726847932280171008,-6.208489,7.741901,-1.703757
1726847932290262016,-6.171367,7.681127,-1.733545
1726847932300238080,-6.263126,7.461534,-1.578917
1726847932310172928,-6.420149,7.322024,-1.313668
1726847932320327936,-6.671177,7.337891,-1.164728
1726847932330173952,-6.785539,7.314240,-1.220861
1726847932340361216,-6.714288,7.200776,-1.323548
1726847932350419968,-6.682853,7.228618,-1.365011
1726847932360273920,-6.656059,7.366781,-1.323548
1726847932370388992,-6.478528,7.453750,-1.338067
1726847932380329984,-6.323001,7.317533,-1.296903
1726847932390421760,-6.434819,7.279961,-1.166075
1726847932400509952,-6.542744,7.382947,-1.088836
1726847932410369024,-6.420299,7.472611,-1.189277
1726847932420590848,-6.309978,7.428003,-1.249152
1726847932430393088,-6.271059,7.382348,-1.202000
1726847932440613888,-6.349796,7.291338,-1.069376
1726847932450616832,-6.543642,7.186256,-0.882864
1726847932460528896,-6.840625,7.297475,-0.760419
1726847932470566912,-6.718329,7.385641,-1.057102
1726847932480532224,-6.440806,7.406299,-1.342708
1726847932490574848,-6.161038,7.633676,-1.494342
1726847932500756992,-5.970933,7.734117,-1.522334
1726847932510603008,-5.968838,7.681726,-1.485960
1726847932520774912,-6.076464,7.557484,-1.451831
1726847932530617088,-6.310427,7.438631,-1.340462
1726847932540730112,-6.483917,7.387288,-1.201102
1726847932550838016,-6.393205,7.346722,-1.088686
1726847932560840960,-6.260581,7.273525,-0.960103
1726847932570840832,-6.352490,7.349866,-0.829575
1726847932581498112,-6.501131,7.623946,-0.953517
1726847932590693120,-6.254144,7.666458,-1.304837
1726847932600924928,-6.018983,7.505542,-1.502426
1726847932610857984,-6.164182,7.520212,-1.456022
1726847932620801024,-6.154003,7.570507,-1.314417
1726847932631387904,-6.161038,7.583380,-1.129850
1726847932640887040,-6.112988,7.602091,-1.040636
1726847932650903040,-6.118377,7.552544,-1.025368
1726847932660853760,-6.034850,7.468419,-1.016087
1726847932670959872,-6.088439,7.393725,-0.936752
1726847932682189056,-6.228398,7.382498,-0.817899
1726847932691159040,-6.305937,7.474108,-0.696801
1726847932701171968,-6.449488,7.476053,-0.899030
1726847932711047168,-6.337671,7.333250,-1.053060
1726847932721133824,-6.258186,7.186855,-1.221460
1726847932732040960,-6.206094,7.202572,-1.267564
1726847932741193984,-6.129903,7.332652,-1.181343
1726847932751312128,-6.034701,7.589218,-1.147514
1726847932761275904,-5.877378,7.657476,-1.331481
1726847932771369984,-5.843698,7.593858,-1.544788
1726847932782214144,-5.872588,7.615264,-1.601520
1726847932791386112,-6.127358,7.664212,-1.451382
1726847932801360128,-6.288423,7.457791,-1.396745
