1727802045521638912,0008,4.080
1727802048086577920,0012,6.040
1727802053214537216,0017,8.640
1727802055781510912,0021,10.760
1727802058354864128,0026,13.360
1727802060914897920,0031,15.860
1727802063478127872,0035,17.860
1727802066055109888,0040,20.460
1727802068610632960,0044,22.420
1727802071174312192,0049,24.870
1727802073740246016,0054,27.470
1727802076307033088,0058,29.510
1727802078870215936,0063,32.060
1727802081433796864,0067,34.100
1727802083998691072,0072,36.750
1727802086566473984,0077,39.500
1727802089132053760,0081,41.620
1727802091694480896,0086,44.120
1727802094259886080,0090,46.040
1727802096827731200,0095,48.440
1727802099391771904,0099,50.400
1727802101959172864,0099,50.400
1727802104518586112,0099,50.400
1727802109648943872,0099,50.400
1727802109649827840,0099,50.400
